Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
4.106,1.47,0.912328,5.66,1.42,2.239,0.7874,0.5188,1.417,3.942,2.24,0.0636042,5.58,4.758,2.06468
3.966,1.372,0.824821,5.612,1.422,2.305,0.7947,0.459,1.394,4.365,2.195,0.75,5.476,5.535,2.12163
4.135,1.322,0.532853,5.59,1.346,2.283,0.7202,0.5103,1.416,4.736,2.406,0.579505,5.129,5.342,2.1314
4.02,1.193,0.787799,5.841,1.461,2.368,0.7812,0.5164,1.387,5.017,2.512,0.528269,5.432,5.284,2.20106
4.144,1.035,0.929997,5.763,1.46,2.262,0.8655,0.4785,1.335,4.937,2.59,0.681979,5.601,5.458,2.20683
4,1.077,0.626249,5.674,1.34,2.321,0.7947,0.4102,1.404,5.135,2.617,0.630742,5.24,5.4,2.16916
4.26,1.172,0.809676,5.496,1.383,2.253,0.8069,0.3821,1.479,5.106,2.795,0.608657,5.458,5.375,2.21261
4.265,1.145,0.882037,5.806,1.355,2.28,0.7251,0.3418,1.382,4.994,2.731,0.649293,5.544,5.421,2.21302
4.211,1.066,1.00572,5.576,1.392,2.218,0.8862,0.5481,1.359,5.184,2.683,0.590106,5.691,5.354,2.22659
3.998,1.022,0.568192,5.742,1.368,2.38,0.7056,0.4529,1.243,5.015,2.778,0.69788,5.171,5.476,2.16421
3.947,1.051,0.694403,5.826,1.326,2.264,0.8057,0.5505,1.373,5.123,2.716,0.39576,5.321,5.134,2.1727
4.224,1.068,0.878672,5.73,1.364,2.257,0.7214,0.498,1.453,5.215,2.733,0.419611,5.54,5.161,2.21347
3.976,1.061,0.526963,5.8,1.39,2.283,0.7727,0.4358,1.368,5.227,2.777,0.676678,5.122,5.452,2.19118
4.191,0.9778,0.685148,5.581,1.256,2.136,0.8179,0.4285,1.205,5.2,2.726,0.622792,5.31,5.391,2.15226
3.962,1.077,0.903072,5.802,1.384,2.234,0.6726,0.4089,1.465,5.131,2.842,0.727032,5.569,5.509,2.21738
3.995,1.051,0.801262,5.458,1.273,2.344,0.6592,0.4675,1.425,4.933,2.999,0.128975,5.448,4.832,2.12791
3.96,0.8838,0.572399,5.793,1.283,2.135,0.6921,0.5042,1.207,5.046,2.773,0.337456,5.176,5.068,2.09891
4.021,1.074,0.819773,5.677,1.443,2.18,0.7007,0.448,1.292,4.972,2.784,0.45318,5.47,5.199,2.15539
4.207,1.001,0.658223,5.837,1.262,2.181,0.7788,0.3589,1.346,4.966,2.947,0.825088,5.278,5.62,2.19733
4.136,1.101,0.935887,5.519,1.3,2.136,0.7019,0.6531,1.296,5.165,2.784,0.600707,5.608,5.366,2.19405
3.888,0.8997,0.64476,5.693,1.283,2.118,0.7849,0.5627,1.328,5.128,2.838,0.30212,5.262,5.028,2.12252
4,1.084,0.517707,5.505,1.215,2.072,0.7422,0.5017,1.309,5.206,2.827,0.589223,5.111,5.353,2.13074
3.9,0.9216,0.574082,5.461,1.277,2.295,0.7336,0.2075,1.265,5.049,2.783,0.473498,5.178,5.222,2.07836
4.087,1.075,0.658223,5.575,1.281,2.048,0.7141,0.4309,1.318,5.089,2.853,0.723498,5.278,5.505,2.15439
3.978,1.052,1.00572,5.625,1.219,2.107,0.7532,0.4431,1.381,5.021,2.755,0.623675,5.691,5.392,2.16364
4.103,1.027,0.701976,5.505,1.244,2.015,0.7129,0.3699,1.273,5.154,2.915,0.736749,5.33,5.52,2.14646
4.161,1.049,0.685989,5.22,1.215,2.031,0.6726,0.4419,1.204,5.175,2.719,0.358657,5.311,5.092,2.07776
3.894,1.003,0.98553,5.713,1.16,2.052,0.6873,0.3821,1.266,5.077,2.744,0.2447,5.667,4.963,2.10072
3.976,0.9985,0.861843,5.582,1.15,2.063,0.6396,0.2954,1.212,5.054,2.955,0.833922,5.52,5.63,2.13511
3.94,0.8582,0.461333,5.413,1.075,1.763,0.6042,0.4285,1.149,5.054,2.813,0.424028,5.044,5.166,1.99861
3.787,0.9534,0.587544,5.149,1.13,1.862,0.6702,0.4663,1.093,4.961,2.738,0.349823,5.194,5.082,1.97894
3.806,0.9851,0.385606,5.435,1.141,1.906,0.6848,0.3552,1.161,5.026,2.7,0.138693,4.954,4.843,1.97703
3.834,0.8948,1.07472,5.315,1.029,2.017,0.6006,0.4639,1.097,5.16,2.609,0.676678,5.773,5.452,2.06431
3.796,1.167,0.664954,5.25,1.09,1.74,0.6982,0.4138,1.1,5.125,2.593,0.689046,5.286,5.466,2.02725
3.682,0.8813,0.611104,5.543,1.01,1.967,0.6445,0.4175,1.119,5.192,2.654,0.866608,5.222,5.667,2.049
3.751,1.005,0.66243,5.476,1.018,1.898,0.7019,0.4358,1.113,5.024,2.539,0.103357,5.283,4.803,1.97729
3.866,0.9229,0.923266,5.193,0.9521,1.87,0.509,0.3796,1.058,5.095,2.457,0.111307,5.593,4.812,1.94476
3.771,1.039,0.38813,5.197,0.8618,1.838,0.5176,0.3918,1.102,5.098,2.643,0.628092,4.957,5.397,1.95629
3.89,0.918,0.53706,4.994,1.086,1.748,0.5396,0.3589,0.9851,5.059,2.606,0.541519,5.134,5.299,1.9386
3.827,0.8411,0.926632,5.238,0.9399,1.764,0.5566,0.3235,0.9424,5.017,2.694,0.765018,5.597,5.552,1.98626
3.669,1.029,0.588386,5.344,0.9521,1.705,0.5273,0.3198,0.9302,5.117,2.516,0.566254,5.195,5.327,1.93867
3.589,0.9009,0.624566,5.155,0.8325,1.663,0.5994,0.3894,0.9351,4.889,2.518,0.428445,5.238,5.171,1.87703
3.789,1.082,0.82398,4.871,0.9033,1.542,0.5688,0.2332,1.08,4.945,2.385,0.586572,5.475,5.35,1.90082
3.556,0.8777,0.381399,5.361,0.9045,1.633,0.5225,0.2197,1.036,5.007,2.231,0.64841,4.949,5.42,1.86485
3.589,0.9387,0.476478,4.874,0.8936,1.79,0.5554,0.4248,1.069,5.039,2.444,0.866608,5.062,5.667,1.91338
3.551,0.9546,0.930839,4.773,0.896,1.597,0.4541,0.293,0.9009,5.131,2.551,0.674028,5.602,5.449,1.89221
3.469,0.9216,0.950191,4.797,0.8008,1.525,0.553,0.1819,0.7971,5.052,2.368,0,5.625,4.686,1.78463
3.7,0.8252,0.850905,4.753,0.7324,1.417,0.4541,0.3491,0.9131,5.063,2.406,0.588339,5.507,5.352,1.83768
3.531,1.016,0.739839,5.055,0.7434,1.464,0.4358,0.3552,0.7971,5.072,2.489,0.888693,5.375,5.692,1.88225
1.361,1.914,-1.2055,2.565,0.1831,0.1062,0.2576,0.1672,0.08545,0.9448,0.9509,0.889576,3.063,5.693,0.684944
1.39,1.924,-1.34601,2.423,0.2185,0.188,0.1111,0.07935,0.1892,0.9216,0.9912,0.84364,2.896,5.641,0.661131
1.404,1.907,-1.29805,2.278,0.1953,0.07202,0.2625,0.1013,0.2808,1.023,0.9277,0.314488,2.953,5.042,0.622338
1.473,1.816,-1.07929,2.388,0.3198,0.3784,0.06958,-0.002441,0.1953,0.9155,1.039,0.718198,3.213,5.499,0.685921
1.306,1.687,-1.06162,2.6,0.2698,0.188,0.02808,0.07324,0.3699,0.8936,1.044,0.158127,3.234,4.865,0.629678
1.553,1.808,-1.17184,2.679,0.1697,0.1526,0.271,0.1453,0.1904,0.918,0.9277,0.473498,3.103,5.222,0.676363
